count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.95966,2.27281,-2.00E+10,-15954.9,16954,16753
49,21,-1.56088,2.10E+22,-0.856038,7.92E+22,0.577637,0.6,1468,-0.217451,-460861,-0.120647,4.16E+27,0.592896,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
50,30,-1.5579,2.35E+22,-0.527517,1.90E+23,0.579315,0.6,1434,-0.223408,-460327,-0.0367951,8.47E+27,0.592667,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
51,33,-1.56982,2.32E+22,-0.329541,2.45E+23,0.578705,0.6,1403,-0.22043,-452640,0.00740491,7.96E+27,0.594803,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
52,27,-1.57279,2.41E+22,-0.319171,2.20E+23,0.580383,0.6,1375,-0.226387,-452149,-0.0165289,5.60E+27,0.595337,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
53,17,-1.58173,2.26E+22,-0.409146,1.51E+23,0.581451,0.6,1348,-0.223408,-453109,-0.0620112,3.12E+27,0.595261,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
54,12,-1.57577,1.94E+22,-0.436137,4.60E+22,0.580154,0.6,1314,-0.22043,-447863,-0.0440066,1.25E+27,0.596024,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
55,21,-1.59365,2.48E+22,-0.429846,-2.66E+22,0.582596,0.6,1274,-0.223408,-441708,0.0153683,1.43E+26,0.596939,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
56,31,-1.60258,2.64E+22,-0.571814,1.26E+22,0.582672,0.6,1235,-0.223408,-440001,0.0156839,-3.53E+26,0.596481,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
57,30,-1.60258,2.59E+22,-0.716638,7.98E+22,0.582138,0.6,1204,-0.226387,-434516,-0.0285008,-4.63E+26,0.597092,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
58,18,-1.6145,2.48E+22,-0.723373,8.21E+22,0.583664,0.6,1176,-0.226387,-431738,-0.0791378,-3.83E+26,0.597931,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
59,5,-1.6145,1.67E+22,-0.691333,-1.20E+22,0.583893,0.6,1143,-0.226387,-431488,-0.0987314,-2.47E+26,0.597855,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
60,0,-1.60854,1.27E+22,-0.531693,-1.90E+23,0.583664,0.6,1103,-0.226387,-437982,-0.0801797,-1.24E+26,0.59816,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
61,1,-1.63535,1.36E+22,-0.422354,-3.15E+23,0.584808,0.6,1059,-0.226387,-453845,-0.0508873,-3.98E+25,0.598694,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
62,3,-1.64131,1.52E+22,-0.623587,-2.85E+23,0.584656,0.6,1018,-0.226387,-471562,-0.0250649,5.67E+24,0.598465,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
63,6,-1.63237,1.84E+22,-0.738628,-1.47E+23,0.585037,0.6,980,-0.226387,-490414,-0.00764223,2.29E+25,0.598923,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
64,12,-1.63833,2.36E+22,-0.546766,3.88E+22,0.5858,0.6,943,-0.232345,-510270,-0.0384668,2.38E+25,0.599609,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
65,15,-1.63535,2.52E+22,-0.320038,2.07E+23,0.585648,0.6,906,-0.229366,-534001,-0.100931,1.78E+25,0.599609,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
66,13,-1.63237,2.42E+22,-0.120045,2.70E+23,0.585724,0.6,872,-0.232345,-565509,-0.119528,1.05E+25,0.599915,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
67,13,-1.6562,2.49E+22,-0.105282,2.25E+23,0.586639,0.6,842,-0.232345,-600603,-0.115004,4.65E+24,0.600296,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
68,16,-1.66514,2.61E+22,-0.431492,1.57E+23,0.586105,0.6,813,-0.232345,-627790,-0.102151,9.85E+23,0.600525,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
