count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,5.13243,2.3294,4.18E+11,-16548.8,17229,16319
42,-16,-1.70684,-1.27E+23,-1.32325,8.96E+23,0.569626,0.6,1788,-0.321708,-7.98E+06,-0.16015,-6.89E+25,0.586487,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
43,-5,-1.72471,3.42E+20,-1.3324,-2.56E+24,0.571762,0.6,1669,-0.324687,-1.40E+06,-0.209552,-3.20E+25,0.587402,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
44,2,-1.71875,8.81E+21,-1.23643,-3.98E+24,0.573212,0.6,1550,-0.327666,-439383,-0.253386,-8.12E+24,0.587708,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
45,-6,-1.73067,-1.09E+22,-0.982792,-2.66E+24,0.573669,0.6,1438,-0.324687,-485091,-0.243182,3.92E+24,0.589844,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
46,-23,-1.74556,-4.70E+24,-0.832423,-3.31E+25,0.575958,0.6,1329,-0.327666,-483512,-0.173487,7.84E+24,0.590225,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
47,-33,-1.73067,1.81E+23,-0.725539,-6.70E+25,0.576111,0.6,1228,-0.327666,-484222,-0.117967,7.34E+24,0.590149,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
48,-33,-1.73663,1.95E+23,-0.425719,-2.88E+25,0.577179,0.6,1141,-0.327666,-418572,-0.0832198,5.15E+24,0.592743,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
49,-32,-1.74854,2.36E+23,-0.247091,2.80E+25,0.578629,0.6,1070,-0.327666,-413121,-0.0464214,2.86E+24,0.593277,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
50,-29,-1.74556,3.17E+23,-0.286553,4.50E+25,0.577942,0.6,1013,-0.336602,-468233,-0.0787095,1.14E+24,0.593201,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
51,-24,-1.77237,-2.07E+24,-0.445506,2.53E+25,0.580078,0.6,963,-0.330644,-508032,-0.150794,1.24E+23,0.594574,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
52,-25,-1.77237,-7.99E+25,-0.731051,-5.43E+26,0.58107,0.6,913,-0.330644,-533751,-0.119837,-3.29E+23,0.595261,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
53,-31,-1.76939,2.94E+23,-0.811737,-1.15E+27,0.580002,0.6,866,-0.333623,-567504,-0.0547093,-4.28E+23,0.595184,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
54,-33,-1.80216,2.83E+23,-0.805985,-5.40E+26,0.582062,0.6,825,-0.333623,-579476,-0.0530657,-3.53E+23,0.596024,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
55,-30,-1.78727,4.38E+23,-0.906217,3.98E+26,0.58252,0.6,793,-0.333623,-582847,-0.0580702,-2.27E+23,0.597092,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
56,-27,-1.78727,9.51E+23,-0.723328,6.83E+26,0.58168,0.6,767,-0.336602,-2.11E+06,-0.0644669,-1.14E+23,0.596863,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
57,-23,-1.79918,-5.33E+23,-0.432794,6.15E+26,0.583282,0.6,749,-0.336602,-4.30E+06,-0.0897121,-3.62E+22,0.597397,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
58,-18,-1.79025,-1.50E+23,-0.296269,4.07E+26,0.584045,0.6,735,-0.336602,-1.11E+07,-0.0959264,5.53E+21,0.598694,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
59,-11,-1.7962,-1.06E+23,-0.160505,2.06E+26,0.583206,0.6,726,-0.339581,1.54E+08,-0.0926762,2.13E+22,0.598541,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
60,-7,-1.79918,3.93E+21,-0.101631,7.20E+25,0.584427,0.6,725,-0.336602,8.43E+07,-0.0864625,2.20E+22,0.599075,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
