count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.8137,2.31153,7.17E+10,-16683.7,17040,16260
79,47,-1.56088,3.12E+22,-0.570003,1.98E+22,0.588242,0.6,6,-0.294899,-668851,-0.0945198,1.19E+41,0.601822,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
80,50,-1.5579,3.09E+22,-0.389075,1.10E+22,0.588318,0.6,5,-0.294899,-774515,-0.0299446,-8.24E+41,0.602203,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
81,53,-1.55492,3.06E+22,-0.129526,-5.41E+21,0.588547,0.6,13,-0.297878,-386752,0.00481368,-9.91E+41,0.601898,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
82,59,-1.5579,2.94E+22,0.0524729,-2.49E+22,0.588547,0.6,21,-0.294899,-303970,-0.00209487,-7.92E+41,0.602356,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
83,61,-1.56088,2.92E+22,0.0734251,-4.59E+22,0.588776,0.6,21,-0.297878,-304877,-0.00435368,-4.97E+41,0.602051,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
84,55,-1.5579,3.04E+22,0.022259,-4.52E+22,0.588699,0.6,16,-0.294899,-342306,-0.00411218,-2.41E+41,0.602356,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
85,45,-1.56386,3.21E+22,-0.0249112,-5.98E+21,0.588852,0.6,12,-0.297878,-405037,-0.00293253,-6.99E+40,0.602356,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
86,38,-1.56386,3.28E+22,-0.0977255,4.79E+22,0.588928,0.6,10,-0.297878,-457351,-0.0216915,1.94E+40,0.602356,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
87,40,-1.56684,3.26E+22,-0.161429,7.64E+22,0.588852,0.6,9,-0.294899,-492222,-0.0236081,5.10E+40,0.602585,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
88,49,-1.56088,3.18E+22,-0.144225,6.38E+22,0.589005,0.6,10,-0.297878,-457525,0.00198655,5.03E+40,0.60228,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
89,60,-1.56088,2.97E+22,-0.0383564,1.52E+22,0.589081,0.6,15,-0.294899,-353906,0.0121291,3.64E+40,0.602509,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
90,75,-1.57279,2.60E+22,-0.0241593,-6.67E+22,0.589386,0.6,18,-0.294899,-323208,0.0331741,2.09E+40,0.60228,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
91,85,-1.57577,2.30E+22,-0.191335,-1.66E+23,0.589233,0.6,19,-0.297878,-314986,0.03295,8.83E+39,0.602432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
92,79,-1.57279,2.50E+22,-0.308562,-2.14E+23,0.589539,0.6,17,-0.294899,-331634,0.00389887,1.47E+39,0.602432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
93,64,-1.57279,2.94E+22,-0.253815,-1.40E+23,0.589767,0.6,17,-0.297878,-331634,-0.00931301,-1.96E+39,0.602432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
94,54,-1.57279,3.14E+22,-0.142786,1.46E+22,0.589462,0.6,16,-0.297878,-342306,-0.0324095,-2.85E+39,0.602356,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,57,-1.56684,3.11E+22,-0.0182401,1.28E+23,0.589767,0.6,16,-0.300857,-341277,-0.0733418,-2.45E+39,0.602661,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
96,72,-1.57875,2.74E+22,0.0384309,1.25E+23,0.58992,0.6,17,-0.297878,-331369,-0.0906271,-1.62E+39,0.602509,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
97,85,-1.56982,2.34E+22,-0.00843753,1.16E+22,0.589767,0.6,17,-0.300857,-331109,-0.0733825,-8.43E+38,0.602585,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
98,82,-1.57577,2.44E+22,-0.0255387,-1.10E+23,0.589844,0.6,15,-0.297878,-353660,-0.0464588,-2.94E+38,0.602585,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
99,67,-1.58173,2.88E+22,-0.0856563,-1.15E+23,0.58992,0.6,10,-0.294899,-456437,0.017165,1.22E+37,0.602814,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100,58,-1.57577,3.10E+22,-0.167374,-5.13E+21,0.58992,0.6,8,-0.297878,-536414,0.0788042,1.35E+38,0.60289,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
101,58,-1.57279,3.09E+22,-0.0960759,1.01E+23,0.589844,0.6,13,-0.300857,-383562,0.0430459,1.49E+38,0.602966,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102,61,-1.57875,3.05E+22,-0.000756119,1.28E+23,0.590073,0.6,18,-0.297878,-320036,-0.0233216,1.15E+38,0.603271,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
103,62,-1.57875,3.04E+22,-0.0211359,9.74E+22,0.590225,0.6,18,-0.297878,-320692,-0.0244642,6.98E+37,0.603043,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
104,65,-1.57875,2.97E+22,-0.0638162,4.97E+22,0.590302,0.6,14,-0.297878,-366176,0.00165026,3.23E+37,0.603195,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
105,71,-1.58769,2.79E+22,-0.124291,-5.27E+21,0.590149,0.6,11,-0.300857,-426512,-0.00803999,8.08E+36,0.603424,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
106,77,-1.59067,2.61E+22,-0.255886,-6.76E+22,0.590073,0.6,12,-0.297878,-403138,-0.0299057,-4.08E+36,0.603119,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
107,75,-1.59662,2.68E+22,-0.381258,-1.07E+23,0.590149,0.6,14,-0.297878,-365295,-0.0108563,-8.00E+36,0.603577,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
108,68,-1.58471,2.88E+22,-0.350139,-8.47E+22,0.590149,0.6,17,-0.294899,-329655,0.0399497,-7.46E+36,0.603043,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
109,63,-1.58471,3.02E+22,-0.122823,-1.17E+22,0.590225,0.6,17,-0.297878,-329884,0.0701496,-5.23E+36,0.602966,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
110,58,-1.58769,3.17E+22,0.06419,6.40E+22,0.59053,0.6,13,-0.300857,-382842,0.0237535,-2.89E+36,0.603271,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
111,53,-1.58173,3.27E+22,0.124184,1.15E+23,0.59053,0.6,13,-0.300857,-383955,-0.0617053,-1.15E+36,0.602814,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
112,50,-1.58471,3.32E+22,0.15555,1.33E+23,0.590454,0.6,16,-0.297878,-340104,-0.0803041,-1.19E+35,0.603043,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
113,50,-1.58471,3.32E+22,0.126583,1.18E+23,0.590454,0.6,18,-0.297878,-320468,-0.026347,3.38E+35,0.603119,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114,49,-1.58769,3.36E+22,0.0404961,8.55E+22,0.590683,0.6,18,-0.300857,-321394,0.00302754,4.36E+35,0.602814,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
115,41,-1.57875,3.45E+22,0.0141189,6.09E+22,0.590607,0.6,16,-0.300857,-339462,-0.0256465,3.58E+35,0.603271,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
116,31,-1.58471,3.48E+22,0.0596141,5.11E+22,0.590836,0.6,16,-0.297878,-339885,-0.030577,2.30E+35,0.603119,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
117,24,-1.58471,3.36E+22,0.0424679,3.52E+22,0.590759,0.6,16,-0.300857,-338867,-0.00438212,1.15E+35,0.6035,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
118,20,-1.58769,3.23E+22,-0.0360273,-4.04E+21,0.590683,0.6,17,-0.297878,-328386,0.00764266,3.62E+34,0.6035,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
119,14,-1.59067,2.96E+22,-0.118593,-6.31E+22,0.590912,0.6,20,-0.297878,-305359,0.0305754,-5.94E+33,0.603653,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
120,10,-1.59662,2.66E+22,-0.220329,-1.35E+23,0.590836,0.6,21,-0.297878,-300995,0.0517954,-2.17E+34,0.603577,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
