count,ms_speed_left_model
397,-26.7948
398,-2.01215
399,19.0655
400,71.1922
401,136.141
402,119.308
403,51.6782
404,-7.01335
405,-61.747
406,-78.796
407,-6.07387
408,40.4609
409,20.7732
410,-14.2067
411,7.92931
412,37.0198
413,25.6387
414,0
415,-17.3865
416,-39.4248
417,-37.0459
418,-25.7251
419,0
420,15.1512
421,9.57383
422,-24.7351
423,-48.8949
424,-66.9759
425,-69.3364
426,-66.4896
427,-1.00091
428,48.7712
429,45.0456
430,93.6488
431,169.55
432,140.467
433,43.178
434,-58.1667
435,-142.494
436,-119.666
437,-43.7379
438,-16.4766
439,-35.0565
440,18.8492
441,48.4919
442,-7.39004
443,-34.5243
444,99.1835
445,156.961
446,0
447,-139.422
448,-80.6233
449,-3.02679
450,-40.2711
451,-71.6848
452,-18.5701
453,-18.2572
454,2.50614
455,70.3863
456,79.8577
457,74.101
458,54.2468
459,-56.7028
460,-149.805
461,-92.2945
462,55.7266
463,121.855
464,99.8828
465,33.1065
466,-35.9779
467,-65.8555
468,-26.2919
469,33.8915
470,53.5356
471,-30.0402
472,-70.2864
473,-1.01332
474,57.5642
475,-8.34303
476,-99.6244
477,-139.21
478,-97.6065
479,-42.8227
480,-22.3339
481,-0.493304
482,-15.2345
483,-32.3578
484,-13.6
485,97.5729
486,68.0083
487,-117.146
488,-232.964
489,-84.4561
490,165.96
491,175.364
492,109.752
493,64.7834
494,18.5866
495,-38.8565
496,-89.8012
497,-113.109
498,-127.217
499,-46.272
500,104.872
501,179.968
502,98.3729
503,-39.4999
504,-77.3809
505,-10.6377
506,40.2079
507,47.7673
508,47.8438
509,54.1031
510,69.7838
511,43.2807
512,-25.5493
513,-62.2243
514,-25.871
515,-9.55137
516,-46.5524
517,-76.8425
518,-71.6391
519,-8.80606
520,-1.48536
521,140.799
522,-20.5016
523,-27.9225
524,19.3751
525,57.6659
526,16.957
527,-36.9154
528,-67.8841
529,-50.0965
530,39.5974
531,78.5453
532,18.6765
533,-37.4766
534,-48.1931
535,-20.7424
536,11.3795
537,-1.99135
538,-91.3315
539,-121.268
540,-81.9534
541,-25.0463
542,-51.5997
543,-106.147
544,-29.3842
545,110.489
546,64.2472
547,37.4444
548,59.5157
549,88.888
550,125.469
551,114.854
552,-19.1995
553,-66.6149
554,30.0881
555,74.0751
556,-37.4937
557,-136.717
558,-42.0161
559,73.0295
560,39.1375
561,-19.1714
562,-10.9458
563,20.2928
564,-19.3384
565,-30.6875
566,78.8913
567,122.746
568,-56.3576
569,-197.882
570,-157.58
571,-122.33
572,-171.084
573,46.2558
574,260.972
575,164.38
576,42.0015
577,19.0851
578,0.494553
579,29.1862
580,39.1964
581,-38.6671
582,-101.119
583,-53.9161
584,23.0512
585,-114.635
586,-70.2355
587,71.4921
588,100.154
589,22.8752
590,9.60167
591,30.2024
592,31.2425
593,21.5696
594,-0.498064
595,0.995117
596,-11.9985
597,-9.56235
598,-8.64796
599,-22.5355
600,-19.824
601,40.3566
602,125.521
603,66.9542
604,-53.6278
605,-117.749
606,-103.951
607,-44.1065
608,32.5795
609,53.786
610,19.3389
611,-8.87068
612,60.173
613,151.033
614,61.9316
615,-79.1549
616,-125.158
617,-90.3374
618,-64.1918
619,-44.8871
620,-34.6842
621,56.8872
622,168.986
623,97.6721
624,0.502016
625,53.4318
626,115.016
627,50.2209
628,-67.3851
629,-124.999
630,-115.253
631,-91.9815
632,-74.6935
633,64.7275
634,170.995
635,82.6814
636,-47.3401
637,-26.5263
638,-9.45485
639,-68.4702
640,-31.5278
641,107.317
642,154.878
643,66.146
644,-14.1194
645,-62.9319
646,-77.9832
647,-103.317
648,-100.838
649,-30.3208
650,51.8021
651,108.072
652,37.0366
653,-28.5688
654,-9.46764
655,19.8669
656,63.9673
657,46.5256
658,6.76037
659,-25.9711
660,-83.9804
661,-75.9247
662,0.998278
663,47.1843
664,-47.2706
665,-89.8011
666,-0.989864
667,89.0547
668,20.4433
669,-88.5637
670,-85.8238
671,54.3187
672,112.419
