Count,OriginalData,ExponentialMovingAverage
174,22.977900,0.238095
175,55.496300,-5.211302
176,-28.080999,-15.660270
177,-66.924400,-6.411576
178,-48.433300,23.920374
179,-6.675040,31.739065
180,20.450001,9.927762
181,71.228401,0.940489
182,130.501007,14.660446
183,94.860603,34.388012
184,3.086830,29.672787
185,-84.255600,13.099440
186,-83.413002,2.080916
187,10.294800,7.219314
188,96.270500,14.729021
189,49.981899,15.944257
190,1.018580,11.526418
191,-299.372009,4.479541
192,10.969400,7.130737
193,87.425003,7.855280
194,23.490801,3.419585
195,-61.755100,-10.151628
196,-108.788002,-27.707977
197,-80.372299,-28.486828
198,-26.794800,-5.270275
199,-2.012150,13.528008
200,19.065500,19.840530
201,71.192200,11.390039
202,136.141006,11.156359
203,119.307999,17.387608
204,51.678200,12.482471
205,-7.013350,-3.422482
206,-61.747002,-15.895281
207,-78.795998,-11.775077
208,-6.073870,3.747071
209,40.460899,8.416064
210,20.773199,-1.669158
211,-14.206700,-2.454127
212,7.929310,5.719417
213,37.019798,11.365103
214,25.638700,9.489183
215,0.000000,12.588938
216,-17.386499,11.449305
217,-39.424801,22.328342
218,-37.045898,25.263214
219,-25.725100,15.146254
220,0.000000,1.273998
221,15.151200,-4.756731
222,9.573830,-1.980901
223,-24.735100,2.298996
224,-48.894901,4.691103
225,-66.975899,-9.427309
226,-69.336403,-17.032166
227,-66.489601,-16.469841
228,-1.000910,-10.213358
229,48.771198,-4.230241
230,45.045601,4.572422
231,93.648804,16.085150
232,169.550003,17.281261
233,140.466995,9.695155
234,43.178001,-0.809152
235,-58.166698,-2.944464
236,-142.494003,4.261595
237,-119.666000,11.034130
238,-43.737900,2.623398
239,-16.476601,-4.750319
240,-35.056499,-46.581398
241,18.849199,-2.026553
242,48.491901,10.298942
243,-7.390040,0.955013
244,-34.524300,-11.970034
245,99.183502,-13.974584
246,156.960999,-3.426603
247,0.000000,3.956761
248,-139.421997,1.687138
249,-80.623299,1.311064
250,-3.026790,8.193652
251,-40.271099,15.080602
252,-71.684799,9.400542
253,-18.570101,-0.846606
254,-18.257200,-9.470293
255,2.506140,-16.406046
256,70.386299,-15.309140
257,79.857697,-1.737863
258,74.100998,7.532326
259,54.246799,6.700536
260,-56.702801,-0.518620
261,-149.804993,-3.378004
262,-92.294502,-2.929005
263,55.726601,-2.168640
264,121.855003,-0.773863
265,99.882797,0.821078
266,33.106499,-0.894592
267,-35.977901,-1.948545
268,-65.855499,-2.923003
269,-26.291901,-0.358847
270,33.891499,3.034250
271,53.535599,4.260081
272,-30.040199,-1.726998
273,-70.286400,-7.684402
274,-1.013320,-9.869137
275,57.564201,-7.544069
276,-8.343030,-7.190229
277,-99.624397,-1.954531
278,-139.210007,-0.602975
279,-97.606499,-4.911103
280,-42.822701,0.178142
281,-22.333900,9.564692
282,-0.493304,5.235351
283,-15.234500,-8.730511
284,-32.357800,-23.368929
285,-13.600000,-34.395248
286,97.572899,-26.131411
287,68.008301,-12.166654
288,-117.146004,-12.595058
289,-232.964005,-23.750824
290,-84.456100,-18.838024
291,165.960007,-7.580412
292,175.363998,-7.966901
293,109.751999,-7.021719
294,64.783401,13.884728
295,18.586599,21.886364
296,-38.856499,-1.732405
297,-89.801201,-24.049768
298,-113.109001,-19.586868
299,-127.217003,-13.308914
300,-46.271999,-19.640709
301,104.872002,-19.008108
302,179.968002,-4.018747
303,98.372902,0.038949
304,-39.499901,1.297667
305,-77.380898,7.396366
306,-10.637700,7.970617
307,40.207901,8.455951
308,47.767300,7.311314
309,47.843800,-6.110565
310,54.103100,-16.345894
311,69.783798,-5.187143
312,43.280701,16.740696
313,-25.549299,24.029383
314,-62.224300,17.674063
315,-25.871000,6.931635
316,-9.551370,-3.061820
317,-46.552399,-8.809749
318,-76.842499,-6.124778
319,-71.639099,-0.551201
320,-8.806060,1.782909
321,-1.485360,-9.652996
322,140.798996,-9.198195
323,-20.501600,-0.268874
324,-27.922501,6.572162
325,19.375099,-1.842959
326,57.665901,-11.859577
327,16.957001,-16.085413
328,-36.915401,-11.273355
329,-67.884102,-6.081179
330,-50.096500,-5.035152
331,39.597401,-0.329840
332,78.545303,0.768831
333,18.676500,-0.845677
334,-37.476601,0.255731
335,-48.193100,13.397380
336,-20.742399,8.058501
337,11.379500,-16.862492
338,-1.991350,-31.949381
339,-91.331497,-14.185104
340,-121.267998,15.496674
341,-81.953400,12.947450
342,-25.046301,2.580246
343,-51.599701,-5.628676
344,-106.147003,-15.820959
345,-29.384199,-24.124855
346,110.488998,-25.738657
347,64.247200,-25.363335
348,37.444401,-24.809084
349,59.515701,-10.550432
350,88.888000,13.798777
351,125.469002,28.338425
352,114.853996,20.691442
353,-19.199499,0.473014
354,-66.614899,-7.283156
355,30.088100,3.212689
356,74.075104,12.870975
357,-37.493698,11.918669
358,-136.716995,6.100170
359,-42.016102,5.060136
360,73.029503,9.847187
361,39.137501,7.409979
362,-19.171400,-2.945071
363,-10.945800,-8.220922
364,20.292801,-2.184164
365,-19.338400,-0.648848
366,-30.687500,-6.833043
367,78.891296,-7.569532
368,122.746002,-1.755102
369,-56.357601,4.604883
370,-197.882004,-2.345295
371,-157.580002,10.818028
372,-122.330002,-16.227304
373,-171.084000,-23.304157
374,46.255798,-14.176989
375,260.971985,1.793880
376,164.380005,2.661928
377,42.001499,-3.084235
378,19.085100,-6.404893
379,0.494553,-3.727679
380,29.186199,9.698576
381,39.196400,16.124971
382,-38.667099,5.876063
383,-101.119003,-5.917291
384,-53.916100,-9.249533
385,23.051201,-4.268777
386,-114.635002,-4.250799
387,-70.235497,-8.647498
388,71.492104,-17.592421
389,100.153999,-17.025293
390,22.875200,-10.141339
391,9.601670,-1.667618
392,30.202400,-4.010465
393,31.242500,-10.008204
394,21.569599,1.616088
395,-0.498064,20.457914
396,0.995117,13.438185
397,-11.998500,8.814273
398,-9.562350,11.079849
399,-8.647960,14.280261
400,-22.535500,17.785881
401,-19.823999,14.874784
402,40.356602,-2.263259
403,125.521004,-3.667381
404,66.954201,12.185934
405,-53.627800,15.556408
406,-117.749001,-4.766421
407,-103.950996,-22.080841
408,-44.106499,-10.131641
409,32.579498,7.108882
410,53.785999,4.353798
411,19.338900,-2.947699
412,-8.870680,-2.067056
413,60.173000,4.600288
414,151.033005,4.980678
415,61.931599,5.678525
416,-79.154900,17.177647
417,-125.157997,17.529356
418,-90.337402,-10.933279
419,-64.191803,-32.169987
420,-44.887100,-27.215870
421,-34.684200,-22.739447
422,56.887199,-26.213211
423,168.985992,10.847558
424,97.672096,43.303383
425,0.502016,28.556061
426,53.431801,12.973875
427,115.015999,13.874955
428,50.220901,12.785000
429,-67.385101,13.523032
430,-124.999001,9.445166
431,-115.252998,-5.979825
432,-91.981499,-17.802130
433,-74.693497,-13.646651
434,64.727501,-0.159541
435,170.994995,-12.076431
436,82.681396,-2.353223
437,-47.340099,15.058215
438,-26.526300,17.305382
439,-9.454850,5.800204
440,-68.470200,1.091741
441,-31.527800,2.599805
442,107.317001,6.847086
443,154.878006,11.343485
444,66.146004,10.506866
445,-14.119400,9.743156
446,-62.931900,5.135129
447,-77.983200,2.205196
448,-103.317001,-1.809214
449,-100.837997,-7.571669
450,-30.320801,-8.096928
451,51.802101,2.394441
452,108.071999,18.061335
453,37.036598,10.881418
454,-28.568800,-6.980294
455,-9.467640,-15.753386
456,19.866899,-12.489649
457,63.967300,-1.394427
458,46.525600,10.860343
459,6.760370,13.568783
460,-25.971100,7.357533
461,-83.980400,-0.041079
462,-75.924698,6.324647
463,0.998278,18.409058
464,47.184299,7.482147
465,-47.270599,-13.753909
466,-89.801102,-22.960325
467,-0.989864,-17.387548
468,89.054703,-9.675860
469,20.443300,-5.882809
470,-88.563698,-7.744754
471,-85.823799,1.582862
472,54.318699,18.817818
473,112.418999,12.839730
474,53.889900,1.302508
475,56.229099,10.617846
476,56.600700,20.753389
477,20.155001,11.963200
478,6.427000,-4.165899
479,-17.696699,-12.491638
480,-2.023230,-10.762483
481,31.098101,-5.972277
482,114.825996,1.103961
483,109.643997,24.223982
484,-25.897499,36.636337
485,-158.171005,17.048079
486,-45.429699,-2.993837
487,125.293999,4.853151
488,106.769997,11.159642
489,14.525300,3.306902
490,-62.890099,5.709218
491,-54.257599,22.143169
492,21.613899,28.557369
493,99.440598,19.331739
494,47.981300,9.595410
495,-51.094501,0.611123
496,-117.762001,-6.067391
497,-58.853600,-11.565079
498,50.941399,-8.778438
499,44.988701,2.870997
500,-44.524700,12.123503
501,-51.924900,17.225071
502,-17.102699,6.267853
503,-12.720500,-3.353145
504,-0.506202,-0.657129
505,-16.415701,2.693829
506,-41.969601,6.909069
507,-34.718201,2.916782
508,8.851720,-2.230681
509,8.811970,-6.226178
510,-1.009650,-13.870219
511,-8.815080,-12.582050
512,-35.762001,-3.083450
513,-2.516630,3.187710
514,62.540501,-7.264402
515,52.987701,-10.655916
516,27.229799,2.845887
517,6.802590,15.184007
518,-43.500599,3.599585
519,-60.448101,-13.660647
520,-43.538300,-14.461617
521,-36.481300,3.636035
522,0.502554,11.374078
523,72.712097,5.860549
524,118.706001,10.602353
525,72.658997,13.086224
526,-72.686699,4.791507
527,-147.362000,-3.032685
528,-9.020860,-6.531433
529,105.894997,-0.001945
530,73.923798,7.378393
531,-8.683550,18.076834
532,-15.464700,16.060350
533,-8.280440,-3.232841
534,25.764999,-19.992176
535,64.425598,-1.427863
536,6.899500,21.997484
537,-105.514999,14.490708
538,-155.052002,-4.638658
539,-46.807201,-16.766567
540,118.436996,-10.296497
541,118.934998,5.036758
542,39.036301,16.899963
543,-39.077999,7.742347
544,-26.269400,-6.996321
545,49.202999,-13.812488
546,87.502899,-1.869075
547,23.533199,13.982268
548,-45.803902,10.832318
549,-104.002998,-5.782120
550,-76.007103,-9.537281
551,-35.882099,-5.858997
552,-43.507801,-6.742513
553,-37.519798,-6.296881
554,11.201400,-7.763216
555,42.763401,-9.239201
556,63.285702,-5.413979
557,83.954102,3.985628
558,56.129398,6.025102
559,-39.276600,2.919708
560,-67.840500,-0.911271
561,-7.465340,-4.814191
562,33.686901,1.193728
563,25.872299,10.963694
564,7.676700,9.542303
565,-25.348400,4.689019
566,-41.361099,0.119347
567,-8.046420,-7.006861
568,32.780800,-7.739542
569,57.220001,-2.904226
570,47.702000,0.035138
571,31.419500,6.269782
572,31.473499,17.028053
573,-39.264198,21.043455
574,-114.552002,9.495866
575,-50.507900,-12.522379
576,75.845596,-19.160471
577,89.140999,3.804083
578,37.667500,20.680080
579,1.017560,15.583324
580,-8.203300,3.473810
581,-47.249001,0.567196
582,-80.190498,-1.627748
583,-73.634903,0.154762
584,-2.529380,5.280252
585,59.626499,-0.371759
586,-0.506948,-15.586651
587,-201.576004,-29.582661
588,36.843102,-12.332303
589,116.382004,15.072723
590,65.575798,17.120621
591,48.631401,7.546103
592,55.998901,-1.122588
593,-23.559900,-0.269489
594,-139.231995,4.492354
595,-123.275002,4.663815
596,-18.854300,-4.913511
597,0.502260,-14.082381
598,-19.021500,-22.150366
599,81.874397,-14.283140
600,150.544998,-2.390408
601,159.714005,2.934873
602,95.129501,7.360523
603,0.000000,13.663812
604,-96.667801,13.607395
605,-76.770103,12.839833
606,-6.318730,14.884932
607,-6.835260,10.268503
608,-73.424896,-5.921949
609,-92.180298,-13.169298
610,-35.474899,-5.875319
611,44.404999,1.664323
612,91.061699,4.112793
613,88.136597,4.945994
614,38.102699,1.777986
615,-0.509046,-0.478205
616,-62.629200,1.591949
617,-80.071404,3.913355
618,-7.218690,6.783407
619,54.501701,7.366935
620,39.196301,6.412136
621,15.083300,6.759488
622,-31.518000,-4.312342
623,-89.703697,-17.847401
624,-74.817398,-11.416405
625,16.245501,6.763900
626,51.271801,10.308163
627,41.216900,4.555952
628,1.012760,-0.541704
629,-83.536598,-5.043981
630,-104.073997,-14.210363
631,-18.765301,-18.845943
632,80.106300,-14.078502
633,86.491203,-0.514069
634,41.698399,9.550960
635,-33.008499,-0.254043
636,-64.221603,-29.967054
637,1.517870,3.525561
638,94.887398,17.869926
639,99.742500,14.206578
640,69.508202,14.082704
641,5.087280,14.726761
642,-112.759003,-1.036924
643,-146.334000,-22.385185
644,-60.326801,-21.714127
645,-23.209600,-7.644736
646,-25.659000,-5.732251
647,19.490499,-7.384673
648,64.168800,9.072478
649,33.236599,19.311167
650,-25.731300,18.785357
651,-45.141899,7.540173
652,-1.007490,-5.665973
653,-12.103700,-18.997511
654,1.006430,-15.520898
655,-293.385010,-16.885515
656,-102.570999,-20.315617
657,119.973999,-23.823584
658,122.945000,-20.605545
659,-65.342598,-14.687746
660,-163.119995,-9.700934
661,-26.905800,-4.063023
662,89.848900,-0.775965
663,7.580780,-7.217796
664,-0.490951,-12.178134
665,133.792999,-14.858583
666,140.613007,-11.121570
667,72.014503,1.995577
668,25.026600,11.249475
669,-51.036400,6.736083
670,-180.205994,-3.857448
671,-134.759003,-15.295962
672,31.126699,-21.347937
673,51.097198,-16.492849
674,-17.736500,-4.220887
675,-33.527000,-0.631116
676,-87.138802,-5.383993
677,-69.499603,-13.337920
678,46.368401,-22.435957
679,110.318001,-20.008612
680,52.195801,-5.634867
681,-52.652699,5.898542
682,-121.862999,1.752161
683,-12.154300,-4.853623
684,102.292999,-10.759578
685,41.382599,-12.937897
686,-42.293701,-5.194604
687,-43.969501,5.917634
688,44.750599,8.097385
