Count,OriginalData,ExponentialMovingAverage
191,-299.372009,-5.904970
192,10.969400,1.824114
193,87.425003,11.446708
194,23.490801,18.426697
195,-61.755100,6.109976
196,-108.788002,-17.740084
197,-80.372299,-31.628473
198,-26.794800,-21.781536
199,-2.012150,0.743255
200,19.065500,28.570223
201,71.192200,37.804741
202,136.141006,17.587175
203,119.307999,-16.768576
204,51.678200,-24.389528
205,-7.013350,7.170355
206,-61.747002,24.375317
207,-78.795998,15.057613
208,-6.073870,4.929111
209,40.460899,4.045804
210,20.773199,1.796805
211,-14.206700,2.320240
212,7.929310,4.506343
213,37.019798,-2.154379
214,25.638700,-9.812220
215,0.000000,2.413424
216,-17.386499,26.511724
217,-39.424801,29.753277
218,-37.045898,2.470755
219,-25.725100,-9.655355
220,0.000000,-7.450717
221,15.151200,17.474142
222,9.573830,20.074697
223,-24.735100,2.782008
224,-48.894901,-10.284091
225,-66.975899,-19.024611
226,-69.336403,-29.574915
227,-66.489601,-19.044594
228,-1.000910,13.298972
229,48.771198,23.021698
230,45.045601,2.084952
231,93.648804,-7.495400
232,169.550003,4.651327
233,140.466995,23.926533
234,43.178001,20.819311
235,-58.166698,7.147248
236,-142.494003,-3.051118
237,-119.666000,-0.543071
238,-43.737900,2.619896
239,-16.476601,2.074485
240,-35.056499,-2.494070
241,18.849199,3.074818
242,48.491901,6.371335
243,-7.390040,3.674101
244,-34.524300,-2.132168
245,99.183502,-11.143468
246,156.960999,-21.505655
247,0.000000,-19.793104
248,-139.421997,0.992812
249,-80.623299,18.050898
250,-3.026790,23.730104
251,-40.271099,11.996378
252,-71.684799,5.212425
253,-18.570101,6.731888
254,-18.257200,-0.014056
255,2.506140,-15.107599
256,70.386299,-23.602240
257,79.857697,-14.965321
258,74.100998,2.100004
259,54.246799,6.362493
260,-56.702801,-5.458254
261,-149.804993,-8.609964
262,-92.294502,-2.499179
263,55.726601,3.072909
264,121.855003,2.988872
265,99.882797,8.380147
266,33.106499,8.905648
267,-35.977901,20.893528
268,-65.855499,24.440063
269,-26.291901,15.316435
270,33.891499,2.403314
271,53.535599,-3.160413
272,-30.040199,-1.478396
273,-70.286400,2.332320
274,-1.013320,6.666664
275,57.564201,-3.635667
276,-8.343030,-8.985415
277,-99.624397,-8.277914
278,-139.210007,-5.219640
279,-97.606499,-3.378353
280,-42.822701,2.712222
281,-22.333900,10.237400
282,-0.493304,5.201837
283,-15.234500,-7.622253
284,-32.357800,-19.931791
285,-13.600000,-19.692379
286,97.572899,-4.689172
287,68.008301,8.385155
288,-117.146004,-0.364676
289,-232.964005,-11.596626
290,-84.456100,-53.690125
291,165.960007,-7.343275
292,175.363998,6.621148
293,109.751999,0.011362
294,64.783401,-10.242031
295,18.586599,-16.035959
296,-38.856499,-12.642455
297,-89.801201,-6.919911
298,-113.109001,-5.668920
299,-127.217003,-5.223454
300,-46.271999,1.017813
301,104.872002,11.863611
302,179.968002,12.914470
303,98.372902,5.454623
304,-39.499901,-3.378074
305,-77.380898,-12.250382
306,-10.637700,-14.525625
307,40.207901,-3.600575
308,47.767300,3.713990
309,47.843800,1.923583
310,54.103100,-1.776859
311,69.783798,2.635768
312,43.280701,7.377326
313,-25.549299,5.185153
314,-62.224300,0.380721
315,-25.871000,-2.491965
316,-9.551370,-5.614115
317,-46.552399,-6.102847
