Count,OriginalData,MovingAverage
425,0.502016,-0.104974
426,53.4318,1.00957
427,115.016,1.07295
428,50.2209,-0.824275
429,-67.3851,-1.70015
430,-124.999,-0.706385
431,-115.253,1.75313
432,-91.9815,4.68015
433,-74.6935,8.8163
434,64.7275,12.5031
435,170.995,10.6906
436,82.6814,4.10723
437,-47.3401,1.54501
438,-26.5263,4.99769
439,-9.45485,7.66362
440,-68.4702,8.14322
441,-31.5278,8.25482
442,107.317,7.80023
443,154.878,6.08617
444,66.146,4.97742
445,-14.1194,4.61412
446,-62.9319,3.87462
447,-77.9832,2.77802
448,-103.317,3.16061
449,-100.838,6.24578
450,-30.3208,9.16232
451,51.8021,8.87824
452,108.072,6.8037
453,37.0366,4.3002
454,-28.5688,3.30506
455,-9.46764,3.86631
456,19.8669,3.72735
457,63.9673,2.49062
458,46.5256,0.51691
459,6.76037,-0.236568
460,-25.9711,-0.195535
461,-83.9804,0.303694
462,-75.9247,1.807
463,0.998278,2.61025
464,47.1843,2.53996
465,-47.2706,2.84708
466,-89.8011,4.85225
467,-0.989864,7.19287
468,89.0547,7.34872
469,20.4433,4.69761
470,-88.5637,3.07978
471,-85.8238,3.98029
472,54.3187,4.96714
473,112.419,3.89082
474,53.8899,3.09668
475,56.2291,4.393
476,56.6007,4.7216
477,20.155,2.13585
478,6.427,-1.21449
479,-17.6967,-1.52345
480,-2.02323,0.948384
481,31.0981,2.46733
482,114.826,1.67169
483,109.644,-0.934121
484,-25.8975,-3.29261
485,-158.171,-2.25936
486,-45.4297,2.19257
487,125.294,3.23916
488,106.77,-1.37702
489,14.5253,-6.61346
490,-62.8901,-7.84011
491,-54.2576,-4.21357
492,21.6139,-0.74972
493,99.4406,-0.401271
494,47.9813,-3.17164
495,-51.0945,-4.65666
496,-117.762,-2.65071
497,-58.8536,1.45459
498,50.9414,3.10233
499,44.9887,1.16742
500,-44.5247,-1.81241
501,-51.9249,-2.44206
502,-17.1027,-2.12121
503,-12.7205,-2.64931
504,-0.506202,-3.14529
505,-16.4157,-2.91114
506,-41.9696,-1.72756
507,-34.7182,0.377546
508,8.85172,2.75099
509,8.81197,3.69655
510,-1.00965,2.73477
511,-8.81508,1.39816
512,-35.762,1.42515
513,-2.51663,2.81413
514,62.5405,3.38191
515,52.9877,2.28463
516,27.2298,0.717911
517,6.80259,-0.653907
518,-43.5006,-0.950887
519,-60.4481,0.57474
520,-43.5383,2.9281
521,-36.4813,4.75291
522,0.502554,6.11092
523,72.7121,6.73034
524,118.706,4.49082
525,72.659,-0.174342
526,-72.6867,-2.63768
527,-147.362,0.332966
528,-9.02086,5.06303
529,105.895,5.99679
530,73.9238,3.89924
531,-8.68355,2.2567
532,-15.4647,1.48539
533,-8.28044,0.190877
534,25.765,-1.11621
535,64.4256,-1.6821
536,6.8995,-1.77808
537,-105.515,-1.92621
