count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.88817,2.27281,2.83E+10,-17304.9,17176,16460
48,31,-1.43875,9.59E+21,-0.140894,4.34E+22,0.55246,0.6,517,-0.22043,53797.9,-0.139419,1.43E+49,0.56543,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
49,35,-1.45364,1.00E+22,-0.0576278,4.87E+22,0.553757,0.6,447,-0.226387,-3.76E+07,-0.147962,1.74E+48,0.566422,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
50,40,-1.47747,1.03E+22,-0.427968,4.94E+22,0.554901,0.6,384,-0.226387,-1.10E+06,-0.231725,-3.92E+48,0.567566,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
51,42,-1.46556,1.07E+22,-0.80533,4.56E+22,0.556046,0.6,336,-0.226387,1.13E+06,-0.243839,-5.20E+48,0.568329,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
52,40,-1.48343,1.11E+22,-0.863495,4.11E+22,0.557037,0.6,301,-0.229366,-288853,-0.20301,-4.33E+48,0.569321,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
53,40,-1.48343,1.15E+22,-0.81408,3.92E+22,0.558182,0.6,271,-0.232345,434674,-0.191292,-2.80E+48,0.569778,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
54,39,-1.51918,1.18E+22,-0.933725,3.84E+22,0.558792,0.6,243,-0.229366,-6.33E+06,-0.174782,-1.41E+48,0.570618,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
55,34,-1.5162,1.22E+22,-1.19108,3.70E+22,0.559631,0.6,222,-0.229366,8.16E+06,-0.100805,-4.59E+47,0.571152,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
56,29,-1.52513,1.24E+22,-1.23608,3.47E+22,0.560242,0.6,212,-0.235323,-377487,-0.0631412,5.85E+46,0.571457,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
57,29,-1.53109,1.27E+22,-1.06139,3.16E+22,0.561081,0.6,208,-0.238302,-278583,-0.130687,2.56E+47,0.572144,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
58,34,-1.5162,1.31E+22,-0.743165,3.05E+22,0.561844,0.6,205,-0.235323,-265615,-0.183407,2.69E+47,0.572678,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
59,39,-1.52216,1.32E+22,-0.291542,3.06E+22,0.562225,0.6,202,-0.232345,229872,-0.115801,2.01E+47,0.573059,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
60,39,-1.53407,1.35E+22,-0.0867138,2.82E+22,0.562759,0.6,201,-0.238302,1.06E+06,-0.0369193,1.19E+47,0.572983,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
61,31,-1.55492,1.38E+22,-0.319163,2.56E+22,0.56337,0.6,201,-0.235323,284616,-0.0347306,5.31E+46,0.573364,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
62,21,-1.5579,1.33E+22,-0.709102,1.98E+22,0.56398,0.6,199,-0.238302,539513,-0.0445536,1.15E+46,0.573746,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
63,17,-1.56088,1.26E+22,-0.878556,2.89E+21,0.564285,0.6,199,-0.235323,557007,-0.0364842,-8.75E+45,0.574127,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
64,18,-1.56088,1.31E+22,-0.771386,-1.39E+22,0.564743,0.6,199,-0.235323,562193,-0.00325993,-1.48E+46,0.574203,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
65,18,-1.54896,1.33E+22,-0.459016,-1.43E+22,0.565201,0.6,198,-0.241281,722814,-0.00866426,-1.33E+46,0.574432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
66,20,-1.57279,1.38E+22,-0.206219,-1.31E+21,0.565582,0.6,201,-0.238302,605599,-0.0685487,-9.06E+45,0.574509,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
67,29,-1.56088,1.49E+22,-0.206198,2.04E+22,0.565811,0.6,209,-0.238302,765983,-0.0747719,-4.89E+45,0.574966,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
68,36,-1.56088,1.52E+22,-0.150537,4.41E+22,0.566193,0.6,213,-0.235323,1.04E+06,-0.0171669,-1.84E+45,0.57489,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
69,34,-1.56386,1.53E+22,-0.0269387,5.39E+22,0.566345,0.6,209,-0.235323,765983,0.0512475,-8.88E+43,0.574966,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
70,28,-1.57577,1.54E+22,-0.0885497,4.73E+22,0.566879,0.6,201,-0.238302,848817,0.0656851,6.59E+44,0.574966,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
71,28,-1.59067,1.55E+22,-0.369706,3.43E+22,0.567108,0.6,189,-0.238302,1.07E+06,0.0139662,7.90E+44,0.575195,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
72,32,-1.58769,1.58E+22,-0.645542,2.37E+22,0.567337,0.6,175,-0.241281,-3.76E+07,-0.051109,6.31E+44,0.575424,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
73,34,-1.60258,1.59E+22,-0.745022,1.87E+22,0.567566,0.6,162,-0.235323,-634119,-0.0641585,3.95E+44,0.575348,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
74,30,-1.5996,1.60E+22,-0.745014,1.59E+22,0.567871,0.6,151,-0.238302,-527254,-0.0122326,1.91E+44,0.5755,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
75,26,-1.59662,1.58E+22,-0.583977,1.10E+22,0.567947,0.6,143,-0.241281,8.50E+06,-0.00748428,5.53E+43,0.575577,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
76,22,-1.5996,1.55E+22,-0.319963,1.82E+21,0.568405,0.6,135,-0.235323,-628659,-0.0234541,-1.57E+43,0.575806,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
77,13,-1.59662,1.34E+22,-0.124688,-2.18E+22,0.568558,0.6,125,-0.241281,-1.47E+07,-0.00363352,-4.07E+43,0.575958,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
78,2,-1.60258,7.25E+21,-0.0304587,-9.76E+22,0.56871,0.6,112,-0.238302,-948089,-0.0144127,-4.01E+43,0.576035,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
79,6,-1.60556,1.00E+22,-0.0632641,-1.81E+23,0.568939,0.6,101,-0.238302,-368432,-0.0149657,-2.90E+43,0.576035,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
80,20,-1.5996,1.55E+22,-0.0994678,-1.33E+23,0.569092,0.6,92,-0.238302,721818,0.0088412,-1.66E+43,0.576187,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
81,29,-1.5996,1.67E+22,-0.0272698,2.31E+22,0.569168,0.6,86,-0.241281,1.11E+06,-0.00371198,-7.00E+42,0.576416,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
82,33,-1.60556,1.69E+22,0.0102569,1.35E+23,0.569397,0.6,83,-0.241281,485552,-0.047883,-1.15E+42,0.576492,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
