count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.79583,3.06516,170.209,178.606,33030,17270,75.3003
37,-263,-1.41194,149.459,-0.0738585,0.668016,0.400787,0.4,10,-0.24426,150.267,-0.0482595,0.765799,150.228,0.0393039,146.013,3.44621,0.402161,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
38,-262,-1.41194,149.428,-0.0115461,0.489946,0.401093,0.4,9,-0.250217,150.274,-0.0128633,1.00988,150.239,0.0353752,145.994,3.43337,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
39,-262,-1.41492,149.442,-0.0227687,-0.0472299,0.400864,0.4,2,-0.247239,150.241,-0.0549344,0.77815,150.233,0.00786349,146.008,3.43437,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
40,-262,-1.41492,149.438,-0.0613284,-0.300602,0.40094,0.4,-7,-0.247239,150.206,-0.0575024,-0.16206,150.233,-0.0275299,146.004,3.43404,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
41,-259,-1.4179,149.403,-0.100773,-0.523413,0.40094,0.4,-12,-0.250217,150.181,-0.0430514,-1.37221,150.228,-0.0472032,146.004,3.39949,0.402161,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
42,-257,-1.4179,149.39,-0.129944,-1.06111,0.400787,0.4,-10,-0.250217,150.205,-0.0655488,-1.91544,150.244,-0.0393334,146.013,3.37708,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
43,-260,-1.4179,149.419,-0.126963,-1.20758,0.400864,0.4,-7,-0.247239,150.211,-0.0571593,-1.42589,150.239,-0.02753,146.008,3.41135,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
44,-262,-1.4179,149.438,-0.0914754,-0.510178,0.40094,0.4,-7,-0.250217,150.211,-0.018255,-0.591425,150.239,-0.02753,146.004,3.43404,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
45,-260,-1.41492,149.41,-0.0321064,0.170619,0.401016,0.4,-8,-0.247239,150.202,0.00271531,-0.106615,150.233,-0.031464,145.999,3.41068,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
46,-260,-1.4179,149.41,0.0211082,0.151493,0.401016,0.4,-6,-0.250217,150.205,0.0106424,0.0140413,150.228,-0.023596,145.999,3.41068,0.402161,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
47,-264,-1.42088,149.451,-0.00268065,0.191073,0.401093,0.4,-3,-0.250217,150.216,-0.00898222,0.110565,150.228,-0.0117965,145.994,3.45635,0.402161,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
48,-264,-1.42386,149.456,-0.0918469,0.741467,0.401016,0.4,1,-0.250217,150.243,-0.034691,0.473485,150.239,0.00393209,145.999,3.45668,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
49,-258,-1.42088,149.391,-0.14375,0.678228,0.40094,0.4,1,-0.253196,150.237,-0.0560366,0.893407,150.233,0.00393208,146.004,3.38796,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
50,-254,-1.42088,149.345,-0.106169,-0.672857,0.40094,0.4,-1,-0.250217,150.235,-0.0699674,0.913928,150.239,-0.00393165,146.004,3.34173,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
51,-255,-1.42088,149.347,-0.0419159,-2.08921,0.401093,0.4,0,-0.253196,150.233,-0.05711,0.596488,150.233,3.68E-07,145.994,3.35264,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
52,-256,-1.42386,149.373,-0.024119,-2.21933,0.400864,0.4,-1,-0.253196,150.213,-0.0565919,0.133785,150.217,-0.00393159,146.008,3.36519,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
53,-256,-1.42386,149.373,-0.0503389,-1.30851,0.400864,0.4,-5,-0.250217,150.214,-0.0411483,-0.369912,150.233,-0.0196626,146.008,3.36519,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
54,-257,-1.42386,149.385,-0.067617,-0.324773,0.400864,0.4,-6,-0.247239,150.199,0.0364255,-0.706453,150.223,-0.0235959,146.008,3.37675,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
55,-260,-1.42088,149.414,-0.0364717,0.523982,0.40094,0.4,0,-0.250217,150.244,0.0986788,-0.546521,150.244,3.67E-07,146.004,3.41102,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
56,-263,-1.42981,149.464,-0.0338011,1.54138,0.400711,0.4,8,-0.247239,150.276,0.0977454,0.385803,150.244,0.031446,146.017,3.44654,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
57,-267,-1.42683,149.5,-0.103704,2.65038,0.400864,0.4,10,-0.256175,150.284,0.0309277,1.44531,150.244,0.0393044,146.008,3.49176,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
58,-272,-1.42981,149.547,-0.144647,3.52743,0.401016,0.4,8,-0.256175,150.297,-0.105146,1.90128,150.266,0.0314465,145.999,3.54823,0.401627,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
59,-273,-1.42981,149.563,-0.142556,3.92618,0.40094,0.4,5,-0.250217,150.269,-0.152984,1.62478,150.25,0.0196562,146.004,3.55998,0.401855,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
60,-269,-1.42683,149.503,-0.103228,3.16259,0.401169,0.4,6,-0.256175,150.262,-0.09142,0.743103,150.239,0.0235862,145.99,3.51329,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
61,-266,-1.42981,149.488,-0.0391114,1.19221,0.400864,0.4,10,-0.253196,150.289,-0.0613852,0.0776867,150.25,0.0393046,146.008,3.4803,0.401855,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
62,-263,-1.42683,149.449,-0.00211961,-0.810929,0.40094,0.4,13,-0.256175,150.306,-0.0524285,0.207367,150.255,0.0510902,146.004,3.44553,0.401779,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
63,-259,-1.42683,149.408,0.0337151,-2.3224,0.400864,0.4,8,-0.256175,150.286,-0.0545773,0.48152,150.255,0.0314462,146.008,3.39983,0.401779,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
64,-256,-1.42981,149.383,0.039415,-3.30261,0.400711,0.4,2,-0.250217,150.263,-0.0207312,0.157979,150.255,0.00786361,146.017,3.36586,0.401779,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
65,-259,-1.42981,149.383,-0.00889004,-3.42388,0.401245,0.4,2,-0.256175,150.263,0.0388375,-0.466856,150.255,0.00786361,145.985,3.39816,0.401779,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
66,-262,-1.42683,149.433,-0.0264036,-2.38226,0.401016,0.4,6,-0.253196,150.273,0.0329246,-0.687557,150.25,0.0235864,145.999,3.4337,0.401855,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
67,-261,-1.42981,149.431,-0.00645696,-0.655955,0.400864,0.4,6,-0.253196,150.273,0.0216365,-0.453761,150.25,0.0235864,146.008,3.42287,0.401855,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
68,-260,-1.43279,149.41,-0.0365288,0.399317,0.401016,0.4,2,-0.253196,150.247,0.0311781,-0.343007,150.239,0.00786352,145.999,3.41068,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
69,-261,-1.43875,149.436,-0.139255,0.605503,0.400787,0.4,-2,-0.253196,150.231,0.0267043,-0.6663,150.239,-0.00786397,146.013,3.4232,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
70,-260,-1.43875,149.414,-0.24427,0.593494,0.40094,0.4,-1,-0.253196,150.235,0.0176522,-0.983001,150.239,-0.00393165,146.004,3.41102,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
71,-256,-1.43875,149.383,-0.261786,0.106688,0.400711,0.4,1,-0.253196,150.232,0.00915245,-0.920657,150.228,0.00393206,146.017,3.36586,0.402161,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
72,-258,-1.43577,149.387,-0.178348,-0.666029,0.401016,0.4,2,-0.253196,150.247,0.00317423,-0.559989,150.239,0.00786352,145.999,3.38763,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
73,-266,-1.43577,149.493,-0.0557155,-0.252325,0.400787,0.4,2,-0.256175,150.241,-0.0201814,-0.118163,150.233,0.00786349,146.013,3.48064,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
74,-272,-1.44173,149.552,-0.0100726,1.84074,0.40094,0.4,2,-0.256175,150.241,-0.0644401,0.122552,150.233,0.00786349,146.004,3.54858,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
75,-273,-1.43577,149.549,-0.0285441,3.69347,0.401169,0.4,5,-0.256175,150.285,-0.0853541,0.448493,150.266,0.0196564,145.99,3.55895,0.401627,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
76,-269,-1.43577,149.513,0.011612,3.57036,0.401016,0.4,12,-0.253196,150.281,-0.0509195,1.022,150.233,0.0471612,145.999,3.51397,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
77,-263,-1.43577,149.454,0.0651179,1.65585,0.400864,0.4,18,-0.256175,150.315,-0.00289558,1.44608,150.244,0.0707262,146.008,3.44587,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
78,-258,-1.43875,149.382,0.0495918,-1.10047,0.401093,0.4,15,-0.256175,150.335,-0.00226298,1.79738,150.276,0.0589468,145.994,3.38729,0.401474,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
79,-259,-1.43279,149.403,0.0297661,-3.16695,0.40094,0.4,7,-0.253196,150.293,-0.0013708,1.67887,150.266,0.0275168,146.004,3.39949,0.401627,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
80,-264,-1.43875,149.451,0.0335285,-3.04404,0.401093,0.4,-1,-0.253196,150.262,0.0394188,0.535818,150.266,-0.00393174,145.994,3.45635,0.401627,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
81,-267,-1.43875,149.505,-0.0140778,-1.02311,0.400787,0.4,-3,-0.253196,150.248,0.0656463,-0.876072,150.26,-0.0117968,146.013,3.4921,0.401703,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
82,-266,-1.43875,149.483,-0.0700128,0.991658,0.40094,0.4,4,-0.259154,150.255,0.0186663,-1.57104,150.239,0.0157255,146.004,3.47997,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
83,-265,-1.44173,149.492,-0.0942313,1.68777,0.400635,0.4,15,-0.256175,150.314,-0.065933,-1.04262,150.255,0.0589458,146.022,3.46985,0.401779,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
84,-266,-1.43577,149.498,-0.0787796,1.5309,0.400711,0.4,18,-0.253196,150.336,-0.0630892,0.446254,150.266,0.0707274,146.017,3.48098,0.401627,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
85,-266,-1.43875,149.498,-0.0110596,1.19641,0.400711,0.4,12,-0.256175,150.297,-0.00483149,1.37525,150.25,0.0471618,146.017,3.48098,0.401855,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
86,-265,-1.43577,149.487,0.0399286,0.702412,0.400711,0.4,9,-0.259154,150.285,-0.0195199,0.926696,150.25,0.0353755,146.017,3.46951,0.401855,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
87,-265,-1.43875,149.497,0.0501994,0.220953,0.400558,0.4,12,-0.256175,150.307,-0.0603555,0.217917,150.26,0.0471622,146.026,3.47019,0.401703,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
88,-263,-1.43875,149.469,0.0208409,-0.169622,0.400635,0.4,12,-0.259154,150.302,-0.060905,0.0541595,150.255,0.047162,146.022,3.44688,0.401779,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
89,-260,-1.43875,149.429,-0.016943,-0.859029,0.400711,0.4,3,-0.256175,150.267,-0.0447067,-0.186337,150.255,0.0117948,146.017,3.41202,0.401779,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
90,-259,-1.43577,149.418,-0.00792548,-1.70704,0.400711,0.4,-7,-0.253196,150.227,0.0140814,-1.01125,150.255,-0.0275304,146.017,3.40049,0.401779,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
91,-259,-1.44173,149.413,-0.00202807,-2.04973,0.400787,0.4,-14,-0.256175,150.189,0.0746246,-2.10303,150.244,-0.0550753,146.013,3.40016,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
