count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.00348,2.89537,170.186,178.853,33515,18125,77.2119
650,-271,-0.420008,150.641,-6.22584,-62.4213,0.383926,0.4,8,-0.137024,151.305,-0.374278,-6.28171,151.274,0.0314713,147.026,3.61476,0.387283,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
651,-248,-0.494477,147.795,-7.02737,-45.979,0.423981,0.4,24,-0.142981,149.829,-0.494535,5.38829,149.735,0.094241,144.619,3.17608,0.40918,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
652,-231,-0.565968,150.008,-7.70274,-46.6194,0.386444,0.4,31,-0.128087,150.028,-0.590584,-0.473988,149.906,0.121712,146.875,3.13307,0.406738,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
653,-222,-0.521286,149.023,-7.06455,-30.2798,0.400101,0.4,26,-0.148939,151.221,-0.450624,-2.0037,151.118,0.102202,146.054,2.96957,0.389496,0.4,1,-29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
654,-217,-0.548095,147.875,-4.95591,-21.4198,0.417114,0.4,16,-0.151918,149.948,-0.471058,6.69511,149.885,0.0628545,145.031,2.84403,0.407043,0.4,1,-29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
655,-215,-0.464689,150.089,-2.24849,-19.152,0.382172,0.4,11,-0.140003,149.928,-0.452334,-0.762184,149.885,0.0432209,147.131,2.95766,0.407043,0.4,1,-30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
656,-220,-0.354475,147.984,1.15468,-5.12734,0.41597,0.4,10,-0.154896,151.002,-0.282273,-5.25889,150.963,0.0393266,145.1,2.88368,0.391708,0.4,1,-30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
657,-234,-0.321708,148.744,4.50464,-6.19762,0.406662,0.4,11,-0.157875,150.11,-0.275393,2.59096,150.067,0.0432271,145.66,3.08479,0.404449,0.4,1,-31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
658,-256,-0.229366,150.131,6.46936,0.42644,0.389114,0.4,9,-0.148939,149.958,-0.277959,-0.644855,149.922,0.0353664,146.714,3.41684,0.406509,0.4,1,-32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
659,-278,-0.131066,148.251,7.65409,14.134,0.42215,0.4,6,-0.160854,150.81,-0.184008,-4.1116,150.786,0.0235963,144.729,3.52228,0.394226,0.4,1,-33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
